rx,tx,len,type,rateMbps,rssi
0601049110e7,5ffe420ebcb4,108,8,18,-55
0601049110e7,5ffe420ebcb4,108,8,12,-54
0601049110e7,5ffe420ebcb4,108,8,11,-54
0601049110e7,5ffe420ebcb4,108,8,9,-55
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,9bcc00421010,96,8,18,-56
0601049110e7,8d6dc85854f0,32,8,6,-59
0601049110e7,8d6dc85854f0,32,8,6,-59
0601049110e7,8d6dc85854f0,32,8,6,-58
b00f30033300,0601049110e7,166,8,11,-128
b00f30033300,0601049110e7,202,8,11,-128
ffffffffffff,0601049110e7,273,8,11,-128
c00030033300,0601049110e7,234,8,11,-128
0601049110e7,8d6dc85854f0,32,8,6,-57
0601049110e7,9bcc00421010,96,8,24,-58
0601049110e7,9bcc00421010,96,8,24,-56
0601049110e7,9bcc00421010,96,8,24,-55
0601049110e7,9bcc00421010,116,8,24,-56
0601049110e7,fec304e1705c,116,8,48,-57
0601049110e7,fec304e1705c,96,8,48,-57
0601049110e7,fec304e1705c,96,8,48,-57
0601049110e7,9bcc00421010,96,8,24,-55
9bcc00421010,0601049110e7,90,8,12,42
0601049110e7,9bcc00421010,96,8,24,-55
9bcc00421010,0601049110e7,90,8,12,43
ffffffffffff,118f7f7fac1d,141,0,1,-60
fec304e1705c,0601049110e7,90,8,11,43
fec304e1705c,0601049110e7,90,8,18,41
ffffffffffff,118f7f7fac1d,141,0,1,-61
ffffffffffff,0601049110e7,152,0,0,0
ffffffffffff,118f7f7fac1d,141,0,1,-61
ffffffffffff,0601049110e7,86,8,11,-128
ffffffffffff,118f7f7fac1d,141,0,1,-59
ffffffffffff,118f7f7fac1d,141,0,1,-62
ffffffffffff,118f7f7fac1d,141,0,1,-62
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-59
afff0e7001f5,0601049110e7,201,8,11,-128
ffffffffffff,0601049110e7,86,8,11,-128
8d6dc85854f0,0601049110e7,96,8,24,44
0601049110e7,8d6dc85854f0,108,8,24,-57
0601049110e7,8d6dc85854f0,108,8,18,-58
0601049110e7,8d6dc85854f0,32,8,6,-57
0601049110e7,8d6dc85854f0,20,4,6,-58
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,20,4,6,-56
ffffffffffff,0601049110e7,86,8,11,-128
0601049110e7,9bcc00421010,245,8,24,-54
ffffffffffff,0601049110e7,86,8,11,-128
0601049110e7,9bcc00421010,96,8,24,-54
9bcc00421010,0601049110e7,1544,8,12,45
0601049110e7,9bcc00421010,96,8,24,-55
0601049110e7,9bcc00421010,96,8,24,-55
9bcc00421010,0601049110e7,810,8,18,42
0601049110e7,9bcc00421010,96,8,24,-53
0601049110e7,9bcc00421010,96,8,24,-53
9bcc00421010,0601049110e7,90,8,18,44
9bcc00421010,0601049110e7,90,8,24,45
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-56
ffffffffffff,0601049110e7,152,0,0,0
ffffffffffff,0601049110e7,86,8,11,-128
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-57
0601049110e7,8d6dc85854f0,32,8,6,-57
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,7afb90b2acf7,28,8,1,-66
0601049110e7,efbc0d271c75,28,8,11,-65
0601049110e7,efbc0d271c75,28,8,11,-63
0601049110e7,efbc0d271c75,28,8,11,-63
0601049110e7,efbc0d271c75,28,8,2,-63
0601049110e7,d97b6dd360cd,32,8,2,-56
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-59
ffffffffffff,0601049110e7,68,8,11,-128
ffffffffffff,0601049110e7,86,8,11,-128
00000208010c,0601049110e7,78,8,11,-128
0601049110e7,8d6dc85854f0,32,8,6,-59
ffffffffffff,23580e4260f5,70,0,1,-54
23580e4260f5,0601049110e7,137,0,1,40
ffffffffffff,23580e4260f5,70,0,1,-58
23580e4260f5,0601049110e7,137,0,1,40
ffffffffffff,23580e4260f5,70,0,1,-61
0601049110e7,8d6dc85854f0,116,8,24,-60
23580e4260f5,0601049110e7,137,0,1,38
0601049110e7,8d6dc85854f0,116,8,24,-60
ffffffffffff,0601049110e7,152,0,0,0
ffffffffffff,23580e4260f5,70,0,1,-62
23580e4260f5,0601049110e7,137,0,1,34
ffffffffffff,0601049110e7,68,8,11,-128
0601049110e7,875f8a570cd5,32,8,6,-43
0601049110e7,875f8a570cd5,32,8,6,-45
0601049110e7,5ffe420ebcb4,32,8,6,-56
0601049110e7,5ffe420ebcb4,32,8,6,-55
0601049110e7,5ffe420ebcb4,32,8,6,-56
0601049110e7,5ffe420ebcb4,32,8,6,-56
0601049110e7,5ffe420ebcb4,32,8,6,-57
0601049110e7,5ffe420ebcb4,32,8,6,-57
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-59
ffffffffffff,0601049110e7,262,8,11,-128
ffffffffffff,0601049110e7,86,8,11,-128
0601049110e7,8d6dc85854f0,32,8,6,-58
ffffffffffff,0601049110e7,152,0,0,0
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-58
ffffffffffff,0601049110e7,86,8,11,-128
ffffffffffff,0601049110e7,86,8,11,-128
ffffffffffff,0601049110e7,86,8,11,-128
0601049110e7,8d6dc85854f0,32,8,6,-57
0601049110e7,5ffe420ebcb4,119,8,18,-61
0601049110e7,5ffe420ebcb4,116,8,18,-59
0601049110e7,5ffe420ebcb4,96,8,18,-60
0601049110e7,5ffe420ebcb4,96,8,12,-59
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,5ffe420ebcb4,96,8,11,-56
0601049110e7,5ffe420ebcb4,96,8,9,-59
0601049110e7,5ffe420ebcb4,96,8,6,-58
0601049110e7,8d6dc85854f0,32,8,6,-58
0601049110e7,5ffe420ebcb4,96,8,5,-58
0601049110e7,5ffe420ebcb4,323,8,18,-58
0601049110e7,5ffe420ebcb4,96,8,18,-57
5ffe420ebcb4,0601049110e7,90,8,18,45
0601049110e7,8d6dc85854f0,32,8,6,-59
5ffe420ebcb4,0601049110e7,90,8,18,43
0601049110e7,5ffe420ebcb4,96,8,18,-58
0601049110e7,5ffe420ebcb4,96,8,18,-60
0601049110e7,5ffe420ebcb4,119,8,18,-60
5ffe420ebcb4,0601049110e7,1544,8,18,45
5ffe420ebcb4,0601049110e7,1544,8,24,43
0601049110e7,5ffe420ebcb4,96,8,18,-60
0601049110e7,5ffe420ebcb4,96,8,18,-58
5ffe420ebcb4,0601049110e7,908,8,18,46
5ffe420ebcb4,0601049110e7,90,8,24,46
5ffe420ebcb4,0601049110e7,123,8,24,45
0601049110e7,5ffe420ebcb4,116,8,24,-61
0601049110e7,5ffe420ebcb4,96,8,24,-62
5ffe420ebcb4,0601049110e7,90,8,24,45
0601049110e7,5ffe420ebcb4,96,8,24,-61
5ffe420ebcb4,0601049110e7,90,8,24,44
0601049110e7,5ffe420ebcb4,96,8,18,-60
ffffffffffff,d49e06560ca7,71,0,1,-55
ffffffffffff,0601049110e7,152,0,0,0
ffffffffffff,d49e06560ca7,71,0,1,-57
ffffffffffff,d49e06560ca7,71,0,1,-59
ffffffffffff,d49e06560ca7,71,0,1,-59
ffffffffffff,d49e06560ca7,71,0,1,-62
ffffffffffff,0601049110e7,152,0,0,0
0601049110e7,8d6dc85854f0,32,8,6,-59
ffffffffffff,0601049110e7,90,8,11,-128
ffffffffffff,0601049110e7,86,8,11,-128
b00f30033300,0601049110e7,127,8,11,-128
0601049110e7,8d6dc85854f0,32,8,6,-58
ffffffffffff,0601049110e7,152,0,0,0
96e6224fd415,0a3204a11077,20,4,1,-72
0601049110e7,5ffe420ebcb4,333,8,24,-59
0601049110e7,5ffe420ebcb4,333,8,18,-60
