rx,tx,len,type,rateMbps,rssi
e65a2b5aa0d4,d91371a56068,20,4,24,-72
d91371a56068,e65a2b5aa0d4,32,4,24,-74
e65a2b5aa0d4,d91371a56068,20,4,24,-72
0a3204a11077,7b376686c0e6,116,8,1,-50
0a3204a11077,49dc042170bc,108,8,54,-52
49dc042170bc,0a3204a11077,96,8,1,55
0a3204a11077,7b376686c0e6,116,8,11,-47
0a3204a11077,02a9718f10aa,120,8,2,-45
0a3204a11077,7b376686c0e6,84,8,11,-46
0a3204a11077,7b376686c0e6,84,8,9,-60
0a3204a11077,7b376686c0e6,84,8,6,-47
0a3204a11077,02a9718f10aa,120,8,2,-46
ffffffffffff,fc79ea546019,91,0,1,-65
0a3204a11077,7b376686c0e6,84,8,5,-53
02a9718f10aa,0a3204a11077,1544,8,1,50
73dfb6185cb5,0a3204a11077,104,8,1,49
0a3204a11077,a77008a22036,108,8,2,-46
0a3204a11077,73dfb6185cb5,108,8,9,-60
a77008a22036,0a3204a11077,1544,8,2,52
0a3204a11077,860378b2f4e6,108,8,9,-47
ffffffffffff,0a3204a11077,153,0,0,0
860378b2f4e6,0a3204a11077,104,8,1,55
0a3204a11077,c95e718f10ea,108,8,12,-44
c95e718f10ea,0a3204a11077,1544,8,2,46
ffffffffffff,0a3204a11077,86,8,11,-128
0a3204a11077,8bc8280160dd,123,8,5,-58
ffffffffffff,0a3204a11077,86,8,11,-128
0a3204a11077,8bc8280160dd,96,8,5,-58
0a3204a11077,7b376686c0e6,84,8,2,-45
0a3204a11077,8bc8280160dd,96,8,5,-60
7b376686c0e6,0a3204a11077,1544,8,2,53
0a3204a11077,f162c90464a1,108,8,5,-52
0a3204a11077,f162c90464a1,108,8,5,-48
0a3204a11077,8bc8280160dd,96,8,5,-58
f162c90464a1,0a3204a11077,1544,8,2,50
d10a78ddd830,0a3204a11077,614,8,5,47
ffffffffffff,fc79ea546019,91,0,1,-67
0a3204a11077,93ea1453ecf8,108,8,9,-59
e65a2b5aa0d4,d91371a56068,20,4,24,-73
d91371a56068,e65a2b5aa0d4,32,4,24,-75
93ea1453ecf8,0a3204a11077,96,8,1,48
0a3204a11077,23210a2220af,84,8,18,-52
0a3204a11077,7b376686c0e6,84,8,1,-55
0a3204a11077,7b376686c0e6,120,8,11,-49
0a3204a11077,7b376686c0e6,120,8,9,-57
0a3204a11077,7b376686c0e6,120,8,6,-48
23210a2220af,0a3204a11077,90,8,2,48
0a3204a11077,3ced08a220a6,120,8,5,-41
3ced08a220a6,0a3204a11077,1544,8,5,56
195c0d0230e4,0a3204a11077,96,8,2,50
d090b7277cb3,0a3204a11077,733,8,5,50
0a3204a11077,d090b7277cb3,108,8,2,-53
0a3204a11077,3ced08a220a6,120,8,1,-40
ffffffffffff,fc79ea546019,176,8,1,-70
0a3204a11077,d090b7277cb3,108,8,2,-57
167078cdd840,0a3204a11077,96,8,2,54
ffffffffffff,fc79ea546019,176,8,1,-69
0a3204a11077,b7cc04c1700c,108,8,48,-46
b7cc04c1700c,0a3204a11077,96,8,2,55
0a3204a11077,9fe4f2eb744e,96,8,5,-47
0a3204a11077,9fe4f2eb744e,533,8,5,-48
ffffffffffff,0a3204a11077,153,0,0,0
b00f0e000105,fc79ea546019,103,8,1,-67
0a3204a11077,7b376686c0e6,120,8,2,-49
b00f0e000105,fc79ea546019,164,8,1,-67
0a3204a11077,7b376686c0e6,116,8,11,-48
0a3204a11077,7b376686c0e6,116,8,9,-56
0a3204a11077,7b376686c0e6,116,8,6,-46
ffffffffffff,0a3204a11077,180,8,11,-128
0a3204a11077,7b376686c0e6,116,8,5,-54
ffffffffffff,0a3204a11077,180,8,11,-128
0a3204a11077,7b376686c0e6,116,8,11,-46
b00f0e000105,0a3204a11077,107,8,11,-128
0a3204a11077,7b376686c0e6,116,8,9,-56
b00f0e000105,0a3204a11077,168,8,11,-128
0a3204a11077,7b376686c0e6,116,8,6,-49
ffffffffffff,fc79ea546019,82,8,1,-66
0a3204a11077,7b376686c0e6,116,8,5,-54
0a3204a11077,02a9718f10aa,120,8,2,-47
02a9718f10aa,0a3204a11077,1544,8,2,53
0a3204a11077,7b376686c0e6,116,8,2,-48
0a3204a11077,7b376686c0e6,120,8,11,-49
73dfb6185cb5,0a3204a11077,96,8,1,49
8bc8280160dd,0a3204a11077,1544,8,5,50
0a3204a11077,8bc8280160dd,128,8,5,-59
a77008a22036,0a3204a11077,1544,8,2,51
ffffffffffff,fc79ea546019,91,0,1,-66
0a3204a11077,a77008a22036,108,8,2,-47
860378b2f4e6,0a3204a11077,104,8,5,49
0a3204a11077,7b376686c0e6,120,8,9,-58
0a3204a11077,a77008a22036,108,8,2,-46
0a3204a11077,c95e718f10ea,108,8,12,-45
0a3204a11077,a77008a22036,108,8,2,-46
e65a2b5aa0d4,a0ef8a730808,28,8,5,-72
0a3204a11077,7b376686c0e6,120,8,6,-49
0a3204a11077,c95e718f10ea,108,8,12,-44
0a3204a11077,7b376686c0e6,120,8,5,-54
ffffffffffff,0a3204a11077,155,0,0,0
c95e718f10ea,0a3204a11077,1544,8,1,53
ffffffffffff,fc79ea546019,82,8,1,-65
e65a2b5aa0d4,a0ef8a730808,28,8,5,-75
e65a2b5aa0d4,a0ef8a730808,28,8,5,-73
7b376686c0e6,0a3204a11077,1544,8,2,51
ffffffffffff,0a3204a11077,86,8,11,-128
0a3204a11077,7b376686c0e6,120,8,2,-50
ffffffffffff,0a3204a11077,262,8,11,-128
ffffffffffff,0a3204a11077,68,8,11,-128
49dc042170bc,0a3204a11077,96,8,1,49
0a3204a11077,f162c90464a1,108,8,5,-47
f162c90464a1,0a3204a11077,1544,8,1,49
46c40151b0fb,0a3204a11077,90,8,1,55
d10a78ddd830,0a3204a11077,96,8,5,49
0a3204a11077,7b376686c0e6,120,8,1,-52
93ea1453ecf8,0a3204a11077,598,8,2,50
ffffffffffff,fc79ea546019,91,0,1,-66
3ced08a220a6,0a3204a11077,1544,8,5,55
0a3204a11077,3ced08a220a6,120,8,5,-44
0a3204a11077,3ced08a220a6,120,8,5,-84
195c0d0230e4,0a3204a11077,96,8,2,46
0a3204a11077,195c0d0230e4,108,8,54,-48
0a3204a11077,3ced08a220a6,120,8,5,-40
d090b7277cb3,0a3204a11077,96,8,2,51
0a3204a11077,d090b7277cb3,108,8,2,-57
0a3204a11077,167078cdd840,96,8,36,-42
167078cdd840,0a3204a11077,90,8,2,56
0a3204a11077,d090b7277cb3,108,8,1,-55
0a3204a11077,02a9718f10aa,120,8,2,-42
02a9718f10aa,0a3204a11077,1544,8,5,57
73dfb6185cb5,0a3204a11077,310,8,2,47
0a3204a11077,73dfb6185cb5,96,8,9,-56
8bc8280160dd,0a3204a11077,90,8,2,50
a77008a22036,0a3204a11077,1544,8,5,48
ffffffffffff,0a3204a11077,155,0,0,0
0a3204a11077,93ea1453ecf8,108,8,9,-62
0a3204a11077,93ea1453ecf8,108,8,9,-63
0a3204a11077,860378b2f4e6,108,8,18,-47
0a3204a11077,860378b2f4e6,108,8,18,-51
0a3204a11077,860378b2f4e6,108,8,18,-53
860378b2f4e6,0a3204a11077,1544,8,2,49
9fe4f2eb744e,0a3204a11077,90,8,2,47
0a3204a11077,860378b2f4e6,108,8,18,-45
0a3204a11077,f162c90464a1,108,8,5,-48
c95e718f10ea,0a3204a11077,1544,8,1,52
0a3204a11077,c95e718f10ea,108,8,12,-44
0a3204a11077,7b376686c0e6,120,8,11,-46
0a3204a11077,9fe4f2eb744e,116,8,5,-50
ffffffffffff,fc79ea546019,82,8,1,-65
ffffffffffff,0a3204a11077,155,0,0,0
7b376686c0e6,0a3204a11077,1544,8,1,52
0a3204a11077,f162c90464a1,108,8,5,-45
0a3204a11077,f162c90464a1,108,8,5,-49
f162c90464a1,0a3204a11077,96,8,5,50
d10a78ddd830,0a3204a11077,631,8,5,41
0a3204a11077,d10a78ddd830,108,8,18,-59
0a3204a11077,3ced08a220a6,120,8,5,-44
00000208010c,0a3204a11077,78,8,11,-128
ffffffffffff,0a3204a11077,86,8,11,-128
0a3204a11077,3ced08a220a6,120,8,5,-42
3ced08a220a6,0a3204a11077,1544,8,2,53
0a3204a11077,860378b2f4e6,108,8,18,-51
0a3204a11077,93ea1453ecf8,108,8,9,-64
93ea1453ecf8,0a3204a11077,104,8,2,55
d090b7277cb3,0a3204a11077,96,8,1,53
0a3204a11077,167078cdd840,96,8,36,-43
167078cdd840,0a3204a11077,90,8,2,54
02a9718f10aa,0a3204a11077,1544,8,5,55
73dfb6185cb5,0a3204a11077,104,8,2,50
0a3204a11077,02a9718f10aa,120,8,2,-46
0a3204a11077,8bc8280160dd,96,8,11,-61
0a3204a11077,02a9718f10aa,120,8,2,-43
0a3204a11077,8bc8280160dd,96,8,5,-61
0a3204a11077,73dfb6185cb5,108,8,9,-57
8bc8280160dd,0a3204a11077,90,8,2,53
a77008a22036,0a3204a11077,1544,8,2,52
0a3204a11077,a77008a22036,120,8,2,-47
195c0d0230e4,0a3204a11077,96,8,2,45
0a3204a11077,860378b2f4e6,108,8,9,-47
860378b2f4e6,0a3204a11077,1544,8,2,52
0a3204a11077,9fe4f2eb744e,96,8,11,-50
9fe4f2eb744e,0a3204a11077,1544,8,5,53
0a3204a11077,195c0d0230e4,123,8,54,-52
0a3204a11077,49dc042170bc,108,8,54,-56
0a3204a11077,49dc042170bc,108,8,54,-51
b00f0e000105,fc79ea546019,103,8,1,-68
0a3204a11077,73dfb6185cb5,108,8,11,-62
ffffffffffff,0a3204a11077,155,0,0,0
0a3204a11077,d69712be28cc,116,8,5,-44
c95e718f10ea,0a3204a11077,1544,8,1,54
b00f0e000105,0a3204a11077,107,8,11,-128
0a3204a11077,d69712be28cc,28,8,5,-44
0a3204a11077,73dfb6185cb5,108,8,11,-57
0a3204a11077,7b376686c0e6,120,8,11,-47
0a3204a11077,73dfb6185cb5,108,8,11,-62
7b376686c0e6,0a3204a11077,1544,8,2,47
0a3204a11077,993d90d2ac27,116,8,2,-50
0a3204a11077,f162c90464a1,120,8,11,-46
0a3204a11077,7b376686c0e6,120,8,9,-54
0a3204a11077,f162c90464a1,120,8,11,-45
0a3204a11077,f162c90464a1,120,8,11,-45
0a3204a11077,73dfb6185cb5,108,8,11,-57
0a3204a11077,f162c90464a1,120,8,2,-47
