rx,tx,len,type,rateMbps,rssi
a77008a22036,0a3204a11077,1544,8,11,55
0a3204a11077,73dfb6185cb5,96,8,12,-58
fc79ea546019,24040009208d,28,8,1,-69
860378b2f4e6,0a3204a11077,96,8,11,55
0a3204a11077,73dfb6185cb5,96,8,24,-58
ffffffffffff,0a3204a11077,68,8,11,-128
36c209aed8db,0a3204a11077,90,8,12,55
02a9718f10aa,0a3204a11077,1544,8,5,55
0a3204a11077,02a9718f10aa,108,8,2,-43
0a3204a11077,b7cc04c1700c,108,8,54,-43
0a3204a11077,73dfb6185cb5,96,8,24,-59
0a3204a11077,73dfb6185cb5,96,8,24,-57
0a3204a11077,73dfb6185cb5,96,8,24,-59
b7cc04c1700c,0a3204a11077,1544,8,18,58
0a3204a11077,7b376686c0e6,128,8,9,-51
7b376686c0e6,0a3204a11077,1544,8,11,56
0a3204a11077,7b376686c0e6,128,8,6,-43
0a3204a11077,7b376686c0e6,128,8,5,-49
0a3204a11077,73dfb6185cb5,96,8,24,-58
0a3204a11077,73dfb6185cb5,96,8,12,-57
0c456dd3601d,0a3204a11077,1544,8,11,56
d10a78ddd830,0a3204a11077,90,8,5,55
0a3204a11077,73dfb6185cb5,96,8,12,-57
0a3204a11077,49dc042170bc,108,8,48,-50
0a3204a11077,73dfb6185cb5,96,8,12,-59
49dc042170bc,0a3204a11077,1544,8,5,57
0a3204a11077,d090b7277cb3,120,8,2,-59
d090b7277cb3,0a3204a11077,1544,8,18,57
93ea1453ecf8,0a3204a11077,1544,8,12,53
0a3204a11077,d090b7277cb3,120,8,1,-55
0a3204a11077,93ea1453ecf8,120,8,9,-57
0a3204a11077,73dfb6185cb5,96,8,12,-57
0a3204a11077,96e6224fd415,108,8,54,-54
e65a2b5aa0d4,d91371a56068,28,8,0,-71
96e6224fd415,0a3204a11077,1544,8,11,57
0a3204a11077,96e6224fd415,108,8,54,-55
0a3204a11077,96e6224fd415,108,8,12,-53
23210a2220af,0a3204a11077,1544,8,11,54
0a3204a11077,8bc8280160dd,20,4,11,-55
0a3204a11077,96e6224fd415,108,8,12,-53
ffffffffffff,fc79ea546019,91,0,1,-73
0a3204a11077,73dfb6185cb5,96,8,12,-57
deb109bed87b,0a3204a11077,1544,8,2,52
73dfb6185cb5,0a3204a11077,104,8,11,53
0a3204a11077,73dfb6185cb5,96,8,2,-56
a77008a22036,0a3204a11077,1544,8,11,56
860378b2f4e6,0a3204a11077,90,8,11,55
0a3204a11077,73dfb6185cb5,108,8,24,-57
0a3204a11077,73dfb6185cb5,108,8,24,-56
0a3204a11077,96e6224fd415,108,8,12,-51
0a3204a11077,73dfb6185cb5,108,8,12,-58
0a3204a11077,73dfb6185cb5,108,8,12,-58
0a3204a11077,a77008a22036,108,8,2,-52
0a3204a11077,a77008a22036,108,8,2,-51
0a3204a11077,96e6224fd415,108,8,12,-50
36c209aed8db,0a3204a11077,90,8,11,56
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,deb109bed87b,108,8,48,-46
